1529412820466:16.0:101
1529412820489:16.0:101
1529412820498:17.0:101
1529412820515:17.0:101
1529412820516:17.0:101
1529412820531:17.0:101
1529412820559:15.0:101
1529412820569:15.0:101
1529412820586:13.0:101
1529412820596:13.0:101
1529412820609:12.0:101
1529412820623:12.0:101
1529412820625:12.0:101
1529412820642:12.0:101
1529412820647:12.0:101
1529412820663:12.0:101
1529412820670:12.0:101
1529412820675:12.0:101
1529412820681:12.0:101
1529412820687:12.0:101
1529412820704:11.0:101
1529412820710:11.0:101
1529412820729:11.0:101
1529412820733:11.0:101
1529412820739:11.0:101
1529412820744:11.0:101
1529412820749:11.0:101
1529412820766:11.0:101
1529412820772:11.0:101
1529412820779:11.0:101
1529412820784:11.0:101
1529412820790:11.0:101
1529412820806:11.0:101
1529412820811:11.0:101
1529412820817:11.0:101
1529412820834:11.0:101
1529412820840:11.0:101
1529412820857:11.0:101
1529412820869:11.0:101
1529412820875:11.0:101
1529412820892:11.0:101
1529412820897:11.0:101
1529412820903:11.0:101
1529412820925:11.0:101
1529412820930:11.0:101
1529412820937:11.0:101
1529412820942:11.0:101
1529412820958:11.0:101
1529412820963:11.0:101
1529412820969:11.0:101
1529412820989:12.0:101
1529412820991:13.0:101
1529412820997:13.0:101
1529412821003:13.0:101
1529412821008:15.0:101
1529412821030:19.0:101
1529412821031:19.0:101
1529412821036:19.0:101
1529412821052:21.0:101
1529412821058:23.0:101
1529412821063:23.0:101
1529412821085:26.0:101
1529412821086:26.0:101
1529412821092:27.0:101
1529412821101:27.0:101
1529412821104:27.0:101
1529412821120:27.0:101
1529412821132:27.0:101
1529412821133:27.0:101
1529412821149:26.0:101
1529412821155:26.0:101
1529412821160:25.0:101
1529412821165:25.0:101
1529412821172:23.0:101
1529412821188:21.0:101
1529412821195:20.0:101
1529412821200:20.0:101
1529412821222:17.0:101
1529412821223:17.0:101
1529412821228:17.0:101
1529412821239:16.0:101
1529412821240:16.0:101
1529412821261:14.0:101
1529412821262:14.0:101
1529412821268:14.0:101
1529412821274:14.0:101
1529412821289:13.0:101
1529412821296:13.0:101
1529412821307:13.0:101
1529412821308:13.0:101
1529412821329:12.0:101
1529412821335:12.0:101
1529412821346:11.0:101
1529412821347:11.0:101
1529412821368:12.0:101
1529412821373:12.0:101
1529412821380:13.0:101
1529412821385:13.0:101
1529412821401:14.0:101
1529412821406:14.0:101
1529412821412:14.0:101
1529412821434:15.0:101
1529412821435:16.0:101
1529412821440:16.0:101
1529412821452:17.0:101
1529412821453:17.0:101
1529412821474:18.0:101
1529412821475:18.0:101
1529412821481:18.0:101
1529412821493:18.0:101
1529412821494:17.0:101
1529412821515:16.0:101
1529412821516:16.0:101
1529412821521:15.0:101
1529412821539:15.0:101
1529412821543:14.0:101
1529412821549:14.0:101
1529412821555:14.0:101
1529412821561:14.0:101
1529412821577:15.0:101
1529412821583:17.0:101
1529412821588:17.0:101
1529412821609:21.0:101
1529412821612:21.0:101
1529412821618:21.0:101
1529412821629:22.0:101
1529412821630:22.0:101
1529412821646:23.0:101
1529412821668:23.0:101
1529412821669:23.0:101
1529412821674:23.0:101
1529412821685:23.0:101
1529412821686:23.0:101
1529412821707:23.0:101
1529412821712:23.0:101
1529412821719:23.0:101
1529412821724:23.0:101
1529412821740:23.0:101
1529412821747:22.0:101
1529412821769:21.0:101
1529412821775:20.0:101
1529412821791:19.0:101
1529412821797:18.0:101
1529412821813:16.0:101
1529412821820:16.0:101
1529412821825:15.0:101
1529412821830:15.0:101
1529412821842:14.0:101
1529412821853:14.0:101
1529412821861:14.0:101
1529412821865:13.0:101
1529412821870:13.0:101
1529412821882:13.0:101
1529412821893:12.0:101
1529412821900:12.0:101
1529412821904:12.0:101
1529412821910:12.0:101
1529412821921:12.0:101
1529412821932:12.0:101
1529412821940:12.0:101
1529412821943:11.0:101
1529412821949:11.0:101
1529412821959:11.0:101
1529412821971:11.0:101
1529412821979:11.0:101
1529412821983:11.0:101
1529412821988:11.0:101
1529412821999:11.0:101
1529412822011:12.0:101
1529412822019:13.0:101
1529412822023:13.0:101
1529412822040:15.0:101
1529412822045:17.0:101
1529412822061:19.0:101
1529412822067:19.0:101
1529412822073:20.0:101
1529412822092:22.0:101
1529412822095:24.0:101
1529412822101:24.0:101
1529412822107:26.0:101
1529412822113:26.0:101
1529412822130:29.0:101
1529412822139:29.0:101
1529412822141:29.0:101
1529412822152:30.0:101
1529412822153:30.0:101
1529412822175:33.0:101
1529412822176:33.0:101
1529412822181:34.0:101
1529412822189:34.0:101
1529412822193:35.0:101
1529412822210:35.0:101
1529412822215:35.0:101
1529412822232:33.0:101
1529412822238:33.0:101
1529412822244:32.0:101
1529412822249:32.0:101
1529412822255:30.0:101
1529412822272:27.0:101
1529412822277:27.0:101
1529412822300:22.0:101
1529412822301:22.0:101
1529412822306:20.0:101
1529412822316:20.0:101
1529412822318:20.0:101
1529412822334:18.0:101
1529412822341:18.0:101
1529412822346:18.0:101
1529412822368:15.0:101
1529412822369:15.0:101
1529412822375:15.0:101
1529412822382:15.0:101
1529412822386:14.0:101
1529412822403:15.0:101
1529412822409:15.0:101
1529412822414:15.0:101
1529412822431:16.0:101
1529412822437:17.0:101
1529412822453:18.0:101
1529412822464:19.0:101
1529412822465:19.0:101
1529412822471:21.0:101
1529412822487:23.0:101
1529412822493:23.0:101
1529412822499:25.0:101
1529412822520:27.0:101
1529412822521:29.0:101
1529412822526:29.0:101
1529412822533:31.0:101
1529412822538:31.0:101
1529412822555:33.0:101
1529412822567:34.0:101
1529412822568:34.0:101
1529412822591:34.0:101
1529412822596:33.0:101
1529412822606:33.0:101
1529412822609:32.0:101
1529412822625:29.0:101
1529412822631:29.0:101
1529412822648:25.0:101
1529412822653:25.0:101
1529412822659:23.0:101
1529412822680:21.0:101
1529412822682:21.0:101
1529412822688:21.0:101
1529412822694:21.0:101
1529412822700:21.0:101
1529412822716:21.0:101
1529412822727:20.0:101
1529412822728:20.0:101
1529412822734:19.0:101
1529412822750:18.0:101
1529412822757:17.0:101
1529412822762:17.0:101
1529412822780:16.0:101
1529412822785:15.0:101
1529412822790:15.0:101
1529412822796:14.0:101
1529412822802:14.0:101
1529412822819:13.0:101
1529412822824:13.0:101
1529412822830:13.0:101
1529412822836:12.0:101
1529412822841:12.0:101
1529412822858:12.0:101
1529412822863:12.0:101
1529412822869:11.0:101
1529412822874:11.0:101
1529412822880:11.0:101
1529412822897:11.0:101
1529412822908:11.0:101
1529412822909:11.0:101
1529412822929:11.0:101
1529412822931:11.0:101
1529412822937:11.0:101
1529412822943:11.0:101
1529412822948:11.0:101
1529412822965:11.0:101
1529412822976:11.0:101
1529412822977:11.0:101
1529412822982:11.0:101
1529412822999:11.0:101
1529412823006:11.0:101
1529412823011:11.0:101
1529412823030:11.0:101
1529412823034:11.0:101
1529412823039:11.0:101
1529412823045:11.0:101
1529412823051:11.0:101
1529412823067:11.0:101
1529412823073:12.0:101
1529412823078:12.0:101
1529412823102:16.0:101
1529412823103:16.0:101
1529412823108:19.0:101
1529412823118:19.0:101
