1529414367004:18.0:-1
1529414367054:18.0:-1
1529414367056:18.0:-1
1529414367059:18.0:-1
1529414367062:19.0:-1
1529414367065:19.0:-1
1529414367068:19.0:-1
1529414367075:19.0:-1
1529414367077:19.0:-1
1529414367080:19.0:-1
1529414367083:19.0:-1
1529414367085:19.0:-1
1529414367088:19.0:-1
1529414367092:19.0:-1
1529414367094:19.0:-1
1529414367097:19.0:-1
1529414367099:19.0:-1
1529414367102:19.0:-1
1529414367108:19.0:-1
1529414367111:19.0:-1
1529414367113:19.0:-1
1529414367115:18.0:-1
1529414367118:18.0:-1
1529414367121:18.0:-1
1529414367123:18.0:-1
1529414367133:18.0:-1
1529414367136:18.0:-1
1529414367142:18.0:-1
1529414367147:16.0:-1
1529414367152:16.0:-1
1529414367159:16.0:-1
1529414367164:16.0:-1
1529414367167:16.0:-1
1529414367172:17.0:-1
1529414367175:17.0:-1
1529414367177:17.0:-1
1529414367181:17.0:-1
1529414367185:18.0:-1
1529414367187:18.0:-1
1529414367189:18.0:-1
1529414367191:18.0:-1
1529414367193:18.0:-1
1529414367194:18.0:-1
1529414367197:18.0:-1
1529414367200:18.0:-1
1529414367202:18.0:-1
1529414367204:18.0:-1
1529414367206:18.0:-1
1529414367208:18.0:-1
1529414367212:18.0:-1
1529414367214:18.0:-1
1529414367217:18.0:-1
1529414367219:18.0:-1
1529414367223:18.0:-1
1529414367225:18.0:-1
1529414367227:18.0:-1
1529414367228:18.0:-1
1529414367230:18.0:-1
1529414367232:18.0:-1
1529414367235:18.0:-1
1529414367237:18.0:-1
1529414367240:18.0:-1
1529414367241:18.0:-1
1529414367243:18.0:-1
1529414367245:18.0:-1
1529414367248:18.0:-1
1529414367250:18.0:-1
1529414367252:18.0:-1
1529414367255:18.0:-1
1529414367258:18.0:-1
1529414367260:18.0:-1
1529414367262:18.0:-1
1529414367265:18.0:-1
1529414367267:18.0:-1
1529414367270:18.0:-1
1529414367272:18.0:-1
1529414367275:18.0:-1
1529414367277:18.0:-1
1529414367280:18.0:-1
1529414367283:18.0:-1
1529414367286:18.0:-1
1529414367288:18.0:-1
1529414367290:18.0:-1
1529414367292:18.0:-1
1529414367295:18.0:-1
1529414367297:18.0:-1
1529414367300:18.0:-1
1529414367302:18.0:-1
1529414367305:18.0:-1
1529414367310:18.0:-1
1529414367312:18.0:-1
1529414367314:18.0:-1
1529414367316:18.0:-1
1529414367318:18.0:-1
1529414367321:18.0:-1
1529414367323:18.0:-1
1529414367324:18.0:-1
1529414367326:18.0:-1
1529414367328:18.0:-1
1529414367330:18.0:-1
1529414367333:19.0:-1
1529414367336:19.0:-1
1529414367338:19.0:-1
1529414367340:19.0:-1
1529414367342:19.0:-1
1529414367344:19.0:-1
1529414367346:21.0:-1
1529414367349:21.0:-1
1529414367351:21.0:-1
1529414367353:21.0:-1
1529414367357:21.0:-1
1529414367359:21.0:-1
1529414367361:21.0:-1
1529414367364:21.0:-1
1529414367366:21.0:-1
1529414367368:21.0:-1
1529414367371:21.0:-1
1529414367374:21.0:-1
1529414367377:21.0:-1
1529414367379:21.0:-1
1529414367382:20.0:-1
1529414367385:20.0:-1
1529414367388:20.0:-1
1529414367390:20.0:-1
1529414367393:20.0:-1
1529414367396:20.0:-1
1529414367398:20.0:-1
1529414367401:20.0:-1
1529414367405:20.0:-1
1529414367408:20.0:-1
1529414367411:20.0:-1
1529414367414:20.0:-1
1529414367417:20.0:-1
1529414367419:19.0:-1
1529414367422:19.0:-1
1529414367425:19.0:-1
1529414367427:19.0:-1
1529414367430:20.0:-1
1529414367432:20.0:-1
1529414367434:20.0:-1
1529414367437:20.0:-1
1529414367440:20.0:-1
1529414367443:21.0:-1
1529414367446:21.0:-1
1529414367449:21.0:-1
1529414367452:21.0:-1
1529414367455:21.0:-1
1529414367458:20.0:-1
1529414367460:20.0:-1
1529414367463:20.0:-1
1529414367465:20.0:-1
1529414367467:20.0:-1
1529414367469:20.0:-1
1529414367472:20.0:-1
1529414367474:20.0:-1
1529414367477:20.0:-1
1529414367480:20.0:-1
1529414367482:19.0:-1
1529414367484:19.0:-1
1529414367487:19.0:-1
1529414367489:19.0:-1
1529414367493:21.0:-1
1529414367496:21.0:-1
1529414367498:21.0:-1
1529414367500:21.0:-1
1529414367502:21.0:-1
1529414367507:22.0:-1
1529414367510:22.0:-1
1529414367512:22.0:-1
1529414367514:22.0:-1
1529414367516:22.0:-1
1529414367521:23.0:-1
1529414367523:23.0:-1
1529414367525:23.0:-1
1529414367527:23.0:-1
1529414367529:23.0:-1
1529414367532:24.0:-1
1529414367534:24.0:-1
1529414367536:24.0:-1
1529414367540:24.0:-1
1529414367544:24.0:-1
1529414367547:24.0:-1
1529414367550:24.0:-1
1529414367552:24.0:-1
1529414367555:24.0:-1
1529414367559:24.0:-1
1529414367562:24.0:-1
1529414367564:24.0:-1
1529414367566:24.0:-1
1529414367569:24.0:-1
1529414367572:25.0:-1
1529414367574:25.0:-1
1529414367576:25.0:-1
1529414367578:25.0:-1
1529414367580:25.0:-1
1529414367583:26.0:-1
1529414367585:26.0:-1
1529414367586:26.0:-1
1529414367588:26.0:-1
1529414367591:26.0:-1
1529414367594:26.0:-1
1529414367597:27.0:-1
1529414367599:27.0:-1
1529414367602:27.0:-1
1529414367604:27.0:-1
1529414367607:27.0:-1
1529414367610:30.0:-1
1529414367612:30.0:-1
1529414367614:30.0:-1
1529414367616:30.0:-1
1529414367618:30.0:-1
1529414367628:31.0:-1
1529414367631:31.0:-1
1529414367633:31.0:-1
1529414367635:34.0:-1
1529414367637:34.0:-1
1529414367641:34.0:-1
1529414367644:34.0:-1
1529414367646:35.0:-1
1529414367648:35.0:-1
1529414367649:35.0:-1
1529414367651:35.0:-1
1529414367652:35.0:-1
1529414367654:35.0:-1
1529414367656:35.0:-1
1529414367659:37.0:-1
1529414367661:37.0:-1
